"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GVFHFCQS","journalArticle","2023","黄尚书; 江新凤; 朱同; 林小兵; 何绍浪; 王斌强; 吴艳; 雷礼文; 孙永明","有机肥全量替代化肥对茶园土壤机械稳定团聚体无机氮分布特征的影响","华北农学报","","1000-7091","","https://kns.cnki.net/kcms2/article/abstract?v=JEPDQvKdoqLaNSa-PGAzQavt6K016ug8xD4KzB41K96TNlY8hd3YLZJS8UwLjiLudxLWj9GgmGOKKh6Pd7kUxQOxrCjHgZCYns5VMwhi8dDtuMJQkgG9fZl4f8XI_bPU_cjMz-map4LZyH6ylhoSH1L8R0wMmpZdPMyXqeQWBVbqxISHCDym1VUlsIEs0zGC&uniplatform=NZKPT&language=CHS","为明确有机肥全量替代化肥对茶园土壤氮素肥力的影响机制。依托5 a茶园有机肥替代化肥试验，选取单施化肥(CF)和全量施用有机肥(OF)为处理，研究了以单施化肥(CF)对照，有机肥全量替代化肥对雨季和旱季茶园土壤理化性质、机械稳定性团聚体组成、团聚体无机氮分布特征的影响，并分析了团聚体无机氮分布的影响因素。结果表明：与CF处理相比，OF处理提高了雨季和旱季表层(0～20 cm)土壤pH值、有机质含量及全氮含量，2个处理雨季土壤pH值差异不显著(P>0.05);在雨季，OF处理下茶园表层土壤阳离子交换量、铵态氮和硝态氮含量低于或显著(P<0.05)低于CF处理，旱季则表现为OF处理显著高于CF处理(P<0.05),分别高27.02%,58.97%,266.84%。不同处理对0.25～2.00 mm和<0.25 mm团聚体质量百分比和GWD有显著影响(P<0.05);与CF处理相比，OF处理提高了0.25～2.00 mm团聚体质量百分比和GWD,降低了<0.25 mm团聚体质量百分比；季节对<0.25 mm团聚体质量百分比有显著影响(P<0.05)。不同处理团聚体铵态氮和硝态氮含量均表现为：<0.25 mm团聚体最高，0.25～2.00 mm团聚体次之，>2.00 mm团聚体最低；雨季OF处理各级团聚体铵态氮和硝态氮含量低于或显著低于(P<0.05)CF处理，而旱季OF处理显著高于CF处理(P<0.05);与雨季相比，旱季显著降低了CF处理下各级团聚体铵态氮和硝态氮含量(P<0.05),增加或显著(P<0.05)增加了OF处理下>2.00 mm团聚体铵态氮含量和各级团聚体硝态氮含量；不同处理下团聚体铵态氮和硝态氮储量占比均表现为0.25～2.00 mm团聚体最高(51.70%,51.14%),>2.00 mm团聚体次之(34.59%,35.51%),<0.25 mm团聚体最低(13.71%,13.34%);与CF处理相比，OF处理显著降低了雨季和旱季<0.25 mm团聚体铵态氮储量占比和旱季<0.25 mm团聚体硝态氮储量占比(P<0.05),显著提高了雨季0.25～2.00 mm团聚体铵态氮储量占比和旱季0.25～2.00 mm团聚体硝态氮储量占比(P<0.05)。相关性分析表明，茶园土壤团聚体铵态氮含量主要受土壤pH值、阳离子交换量和全氮含量的影响，茶园土壤团聚体硝态氮含量主要受土壤pH值、有机质含量和全氮含量的影响...","2023","2025-08-27 10:43:01","2025-08-27 10:43:46","","141-151","","4","38","","华北农学报","","","","","","","","zh","","","","","","13-1101/S","","","","","茶园; 机械稳定性团聚体; 无机氮分布特征; 影响因素; 有机肥全量替代化肥","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HP5TCBV","journalArticle","2023","李学芹; 华仲臣; 冯亿忠; 胡心雨; 沈铮; 潘昊东; 蒋洪财; 武云杰; 姚鹏伟","高碳基肥部分替代化肥对重庆土壤特性和烟叶品质的影响","中国烟草科学","","1007-5119","10.13496/j.issn.1007-5119.2023.04.001","https://link.cnki.net/doi/10.13496/j.issn.1007-5119.2023.04.001","为探明化肥与高碳基肥配施对重庆酸性植烟土壤特性和烟叶品质的影响，通过田间试验，设置高碳基肥替代化肥氮0（CK）、9%（T1）、18%（T2）、27%（T3）和36%（T4）处理，研究不同处理烟田土壤有机碳含量、酶活性、烤烟生长发育特性及烟叶品质特征。结果表明，T3处理显著增加土壤有机碳、可溶性有机碳、微生物量碳和易氧化有机碳含量。随着高碳基肥替代量增加，土壤蔗糖酶和纤维素酶活性均呈现先增加后降低的趋势，且均为T3处理最高。与CK相比，T4处理显著提高了土壤pH与速效钾含量。相关分析表明，土壤纤维素酶和多酚氧化酶活性均与易氧化有机碳、微生物量碳、速效钾含量呈显著正相关关系。主成分分析表明，与CK相比，施用高碳基肥处理使土壤有机碳和酶活性发生明显变化，且随高碳基肥替代量的增加愈加明显。施用高碳基肥显著提高烟株生长后期干物质积累及产量，其中T3处理烟叶产量和产值分别较对照增加19.19%和23.24%。高碳基肥处理提高了烟叶还原糖含量、总糖含量、钾含量、两糖比和糖碱比，改善了感官质量。综上，重庆烟区在施氮量102.4 kg/hm2时，施用73%化肥氮+27%高碳基肥氮可以改善土壤环境并提高烟叶产质量。","2023","2025-08-27 10:43:01","2025-08-27 10:43:47","","1-8","","4","44","","中国烟草科学","","","","","","","","zh","","","","","","37-1277/S","","","","","产量; 高碳基肥; 酶活性; 土壤养分; 土壤有机碳","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R8W76R4M","journalArticle","2023","王志刚; 韩雪; 徐少奇; 魏雨泉; 刘运平; 裘浪; 宋潇; 李伟; 王婷; 郭立月","基于Meta分析的沼液施用对作物-土壤系统效应的研究","中国沼气","","1000-1166","10.20022/j.cnki.1000-1166.2023040003","https://link.cnki.net/doi/10.20022/j.cnki.1000-1166.2023040003","定量分析沼液施用对作物产量和土壤肥力及重金属累积的综合效应，旨在明确等氮沼液对作物产量、土壤肥力参数和重金属累积的影响，为优化沼液施用综合管理措施，发挥沼液施用积极效果提供数据参考。运用Meta分析方法将中英文数据库中已发表有关等氮沼液(BS)和全施化肥(CF)处理对作物和土壤肥力影响文献进行检索筛选，共选出有效文献62篇，获得可进行分析的试验数据591组。研究结果表明：与全化肥处理相比施用沼液作物增产7.62%但差异不显著(p=0.07);土壤容重降低6%、总孔隙度增加14%、较大团聚体含量增加10%～20%,差异显著(p<0.05);土壤有机质、总氮、速效磷、阳离子交换量和电导率增幅6%～20%并导致盐分累积加剧(p<0.05);土壤脲酶、蔗糖酶和磷酸酶活性及微生物碳氮含量、香农指数和辛普森指数增幅6%～21%(p<0.001);土壤Cu、Zn和As含量比全化肥(CF)处理显著增加10%～18%。沼液施用对作物增产和土壤肥力提升显著正效应，需要考虑沼液施用年限、土壤类型、作物种类，严格控制施用量降低盐分和重金属累积风险，实现沼液安全高效利用。","2023","2025-08-27 10:43:01","2025-08-27 10:43:48","","3-10","","4","41","","中国沼气","","","","","","","","zh","","","","","","51-1206/S","","","","","沼液; 综合效应; 作物-土壤系统; Meta分析","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R6L4EN7A","journalArticle","2023","杜鑫宇; 张哲栋; 闫之春; 薛林杰; 闫淋淋; 张笑笑; 梁晓飞","增施猪粪有机肥以及不同比例替代化肥对冬小麦生长及土壤养分的影响","中国沼气","","1000-1166","10.20022/j.cnki.1000-1166.2023040053","https://link.cnki.net/doi/10.20022/j.cnki.1000-1166.2023040053","猪粪有机肥作为一种有机资源，其养分含量丰富，施用后可培肥地力，提高作物产量，是实现农业资源循环可持续的途经之一。以冬小麦为研究对象，研究等氮量情况下有机肥替代化肥对冬小麦整个生育期农艺形状、品质及土壤养分含量变化的影响。研究结果表明：100%氮素有机肥+100%氮素化肥混合处理(T2)下的冬小麦产量与品质最高，产量较CK增加177.53%,粗蛋白含量较T1增加8.1%,粗脂肪含量最高较CK增加9.7%,T2处理下冬小麦湿面筋含量最高为为25.7%;施肥处理后土壤有机质含量主要表现为T2>T3>T4>T5>T1>CK;与单施化肥相比，有机+无机结合的方式更有利于增加土壤N、P、K元素的累积。","2023","2025-08-27 10:43:01","2025-08-27 10:43:49","","53-58","","4","41","","中国沼气","","","","","","","","zh","","","","","","51-1206/S","","","","","冬小麦; 替代化肥; 土壤养分; 有机肥","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56ZKHS47","journalArticle","2023","余高; 陈芬; 王海","有机肥替代化肥对土壤养分、酶活性及太子参产质量的影响","北方园艺","","1001-0009","","https://kns.cnki.net/kcms2/article/abstract?v=JEPDQvKdoqJYOWIO3FlmhfQEAqbhqgiB9GYdE2c0t0Gpvj2ZdDevrcJd5SB6yXdUaEWSfcWFtbwKTjMR1AONPin6Fi6uaEUUzh22_DaHSZyF60dEJby-tl-LtbESXbrVueNkFt_AOAXgiwXT2oO2IxwgS4BIky74m8_QrobpPFviZsGofV5mV_XNpOkKi-FH&uniplatform=NZKPT&language=CHS","以“施太1号”太子参为试材，采用大田试验方法，设置100%NPK化肥（T1）、70%NPK化肥+1 350 kg·hm-2生物有机肥（T2）,50%NPK化肥+2 250 kg·hm-2生物有机肥（T3）,30%NPK化肥+3 150 kg·hm-2生物有机肥（T4）,单施4 500 kg·hm-2生物有机肥（T5）共5个施肥处理，研究了有机肥替代化肥不同比例对土壤有机质、养分、土壤酶活性和太子参产量及品质的影响，以期为太子参化肥科学减量、有机肥合理配施和贵州省中药材太子参产业高产高质提供参考依据。结果表明：随着有机肥替代化肥比例的不断提高，土壤有机质含量、有效磷含量以及土壤过氧化氢酶活性、蔗糖酶活性和脲酶活性均呈现不断升高的趋势，而土壤速效钾含量和土壤磷酸酶活性则呈现先增后减的趋势。T5处理土壤有机质和有效磷含量较其它处理分别提高17.13%～74.26%和16.69%～78.08%,且达到显著水平。T3处理太子参产量最高，显著高于其它处理；T3、T4、T5处理间太子参折干率和可溶性浸出物差异不显著，但显著高于T1、T2处理。总体来看，有机肥替代化肥能明显增加土壤中有机质含量，在一定程度上有效改善了土壤养分状况，刺激土壤酶活性的提高，促进太子参对土壤养分的吸收利用，利于太子参生长发育。综上，T3处理效果最佳，兼顾了土壤良好生化特性和太子参高产高质，并有效减少了化肥施用量。","2023","2025-08-27 10:43:01","2025-08-27 10:43:50","","79-86","","14","","","北方园艺","","","","","","","","zh","","","","","","23-1247/S","","","","","产量; 品质; 生物有机肥; 太子参; 养分","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KPXNVQ4K","journalArticle","2023","李磊; 司海丽; 朱志明; 纪立东","有机肥氮替代化肥氮对盐碱地玉米氮素利用率及土壤理化指标的影响","西北农业学报","","1004-1389","","https://kns.cnki.net/kcms2/article/abstract?v=JEPDQvKdoqLU0baTA5OZaPCU3FiWxrzwXvnhk7h6U3AkZmCK4JSqai3eFNiXFdthW-vNhxCSlohzRJwZ6tlCtrDZmon6zfhSqR5L6yq4uMCPgVT5rseMzKjX5gHEk6iA2Uf9Qp7aRU6ERzzACBlJorXJCRe-sc52_xiRmevCGK_iEV_VdHQuqmuAOf1YqYrv&uniplatform=NZKPT&language=CHS","针对宁夏银北盐碱地玉米种植存在重施氮肥、不施有机肥、产能低下、土壤结构板结等问题。基于常规施肥，建立有机肥氮替代不同比例化肥氮的田间试验，研究其对玉米生长发育、产量、氮素利用率及土壤理化性质的影响。结果表明：与常规施肥比较，有机肥氮替代处理对玉米株高、茎粗产生抑制作用，但提高了叶片SPAD值。随着有机肥氮替代比例减少，植株氮素总积累量表现为明显增加趋势，替代比例为20%处理下氮素积累量与生物产量分别较常规施肥显著增加26.02%、12.46%。有机肥氮替代处理显著提高氮素生理利用率，替代比例为20%的处理下氮素偏生产力与氮素农学效率最高。有机肥氮替代处理下土壤pH与全盐含量较常规施肥有所降低，但差异不显著，土壤有机质含量明显增加，替代比例为100%处理下土壤有机质含量较常规施肥增加11.05%,同时，该处理增加水稳性团聚体平均质量直径。产量与植株氮素及土壤理化指标相关性表明，籽粒产量与生物产量均与植株氮素积累量、土壤全氮相关性显著，而籽粒产量与水稳性团聚体平均质量直径、大团聚体含量、破坏率相关性显著。因此，本试验条件下，有机肥氮替代20%化肥氮处理对产量及氮素利用率提升效果显著，且对土壤理化性质改善也较为明显。","2023","2025-08-27 10:43:01","2025-08-27 10:43:50","","1068-1077","","7","32","","西北农业学报","","","","","","","","zh","","","","","","61-1220/S","","","","","产量; 氮素利用率; 理化指标; 盐碱地; 有机肥氮","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQEH2JDX","journalArticle","2023","李伟欣; 黄鲲; 柴同海; 李银平; 师学静; 唐磊; 邢明振","生物有机肥替代化肥对小麦产量和品质以及土壤质量的影响","河北农业科学","","1008-1631","","https://kns.cnki.net/kcms2/article/abstract?v=JEPDQvKdoqK-z-QwURBXcCoI2o8jzu27oWwlKniHweOh_JR6OOax8XZ7oPXOJLlOvquFU0C5y3FzCU513p16Ox5XPn4WADg4nsv8OzouS5S7L6vAe-Q9rp9RiPRdZO7Zcaq26iS43rpoBkgg_KIXP_ADEjgEgznwGgrXBunopHW5sTly6zIQZh3yVsT4HWLy&uniplatform=NZKPT&language=CHS","探究生物有机肥替代化肥对小麦产量品质及土壤养分状况的影响，可以为小麦高产优质、土壤培肥提供科学的施肥方案。2017～2021年在河北省黑龙港区采取定点大田试验，施肥方式设普通施肥（100%化肥，掺混肥750 kg/hm2）、有机肥替代20%化肥（有机无机复混肥600 kg/hm2）、有机肥替代50%化肥（掺混肥375 kg/hm2+纯发酵生物有机肥1 406.25 kg/hm2）、有机肥替代全部化肥（100%有机肥，纯发酵生物有机肥2 812.50 kg/hm2） 4个处理，研究了生物有机肥替代化肥比例对小麦产量和品质，以及土壤碱解氮、速效磷、速效钾和有机质含量的影响。结果表明：与普通施用化肥相比，生物有机肥替代部分化肥可以提高小麦子粒产量，但不利于提高子粒品质，其中用生物有机肥替代20%化肥处理效果最好，增产（23.09%）显著，子粒的16种氨基酸总含量有所提高，蛋白质含量降幅最小。随着施用生物有机肥年限的增加，生物有机肥替代化肥处理有利于土壤碱解氮和有机质含量的提高，且有机质含量随着有机肥代替化肥比例的增大和有机肥施用年限的增长而逐渐提高。综合考虑小麦高产优质、提高土壤质量的施肥管理模式，认为用生物有机肥替代20%的化肥是可行的。","2023","2025-08-27 10:43:01","2025-08-27 10:43:51","","60-65","","3","27","","河北农业科学","","","","","","","","zh","","","","","","13-1197/S","","","","","产量; 化肥; 土壤质量; 小麦; 有机肥","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QHMYC2VY","journalArticle","2023","吴平成; 黄万花","锦屏县白菜种植中有机肥部分替代化肥减量增效试验","南方农业","","1673-890X","10.19415/j.cnki.1673-890x.2023.10.018","https://link.cnki.net/doi/10.19415/j.cnki.1673-890x.2023.10.018","为探索有机肥替代化肥减量对白菜生长和产量的影响，减少农业生产中化肥的施用，提高白菜产量和经济效益，在贵州省黔东南苗族侗族自治州锦屏县开展白菜有机肥替代化肥减量试验。试验结果表明：白菜株高、茎粗均随化肥减量有机肥施用量的增加而增大，说明有机肥替代化肥减量能更好地促进白菜生长；土壤容重随化肥减量有机肥施用量的增加而减小，说明有机肥替代化肥减量在增强土壤通透性、疏松度等方面有良好作用；白菜产量随化肥减量有机肥施用量的增加而增大，说明有机肥替代化肥减量能更好地满足白菜生长所需营养，增加白菜产量；配方施肥化肥减量20%有机肥替代处理白菜每667 m2纯收入最高，较常规增幅12.95%，说明有机肥替代化肥减量能提升白菜经济效益，该技术值得在蔬菜栽培中推广应用。","2023","2025-08-27 10:43:01","2025-08-27 10:43:53","","54-56","","10","17","","南方农业","","","","","","","","zh","","","","","","50-1186/S","","","","","白菜; 贵州省黔东南州锦屏县; 化肥减量; 经济效益; 有机肥替代","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HHQG8DLZ","journalArticle","2024","田露; 苏文斌; 郭晓霞; 黄春燕; 菅彩媛; 张鹏; 李智; 韩康","化肥减施下生物有机肥对连作甜菜耕层土壤质量及产量的影响","生态学杂志","","1000-4890","10.13292/j.1000-4890.202403.044","https://link.cnki.net/doi/10.13292/j.1000-4890.202403.044","以常规施肥(化肥施用量900 kg·hm-2)为对照（CK）,以化肥减施300 kg·hm-2为基础，设置生物有机肥处理(BOF1:1500 kg·hm-2、BOF2:3000 kg·hm-2、BOF3:4500 kg·hm-2、BOF4:6000 kg·hm-2、BOF5:7500 kg·hm-2),分析耕层土壤结构、养分特征、生物学特性和甜菜产量的变化，以期筛选生物有机肥在连作甜菜中的最佳施用量。结果表明：与CK相比，处理BOF1对土壤质量影响不显著；处理BOF2仅表现显著提高土壤有机质和速效钾含量；处理BOF3土壤容重显著降低5.11%,土壤总孔隙度、有机质、碱解氮、速效磷和速效钾含量分别显著增加5.92%、14.07%、18.35%、3.59%和14.61%;处理BOF4和BOF5对土壤质量和甜菜产量的影响基本一致，土壤容重显著降低9.33%和9.65%,土壤孔隙度、有机质、碱解氮、速效磷、速效钾含量分别显著增加10.82%和11.19%、27.22%和27.78%、31.62%和35.42%、44.10%和54.87%、22.93%和30.03%,土壤微生物生物量碳、氮显著提高22.78%～44.19%和23.81%～60.17%、2.45%～37.64%和16.74%～43.56%,土壤蔗糖酶、脲酶、碱性磷酸酶活性显著提高26.03%～38.61%和29.27%～44.71%、42.72%～63.20%和51.59%～69.89%、3.59%～33.44%和29.60%～38.62%,且两者在各指标间均差异不显著。与CK相比，处理BOF2、BOF3、BOF4和BOF5甜菜产量分别显著提高5.69%、11.82%、22.29%和11.95%,且处理BOF4产量显著高于处理BOF2、BOF3和BOF5,处理BOF4实现了连作甜菜种植效益增加12.79%。综上，化肥减施300 kg·hm-2的基础上配施6000 kg·hm-2的生物有机肥能够实现连作甜菜土壤质量、产量和经济效益的协同提升。","2024","2025-08-27 10:43:01","2025-08-27 10:43:54","","665-674","","3","43","","生态学杂志","","","","","","","","zh","","","","","","21-1148/Q","","","","","产量; 化肥减量; 经济效益; 连作甜菜; 生物有机肥; 土壤质量","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YQCIHF9W","journalArticle","2023","高纪超; 李强; 朱平; 张秀芝; 彭畅; 焦云飞; 高洪军; 武俊男; 徐灵颍","长期化肥有机替代对黑土颜色及腐殖物质的影响","水土保持学报","","1009-2242","10.13870/j.cnki.stbcxb.2023.04.038","https://link.cnki.net/doi/10.13870/j.cnki.stbcxb.2023.04.038","基于30年长期定位试验，通过测定黑土光谱反射率和不同腐殖质组分含量，探究了不同施肥对黑土土壤腐殖质含量、土壤颜色及二者之间的关系。试验设置5个处理：(1)休耕(Fallow);(2)不施肥处理(CK);(3)单施化肥(NPK);(4)有机肥部分替代化肥(NPKM);(5)秸秆部分替代化肥处理(NPKS)。结果表明：与NPK处理相比，Fallow、NPKS、NPKM分别显著提高49.7%,74.3%,27.0%的土壤有机碳含量(p<0.05)。NPKM处理中胡敏酸(HA)含量最高为3.9 g/kg,随后依次为CK、NPKS、NPK、Fallow。NPKM、NPKS和Fallow处理中土壤富里酸(FA)含量为2.2～2.3 g/kg,显著高于NPK和CK。NPKM处理中胡敏素(HM)含量为18.6 g/kg,显著高于其他处理(p<0.05)。不同处理间土壤光谱反射率由高到低依次为NPK>Fallow、CK>NPKS>NPKM,与CK处理相比，NPK土壤光谱反射率在平均提高6.5%,NPKS和NPKM则分别降低11.1%和15.1%。根据线性相关分析结果，黑土土壤光谱反射率与土壤HAHM均呈显著负相关关系(p<0.01),相关系数(r)分别为-0.858,-0.681。综合上述结果，长期有机物料投入可以显著提高黑土腐殖物质含量，降低黑土光谱反射率，使黑土颜色加深，而长期化肥施入则使黑土光谱反射率提高，出现“褪色”现象，有机粪肥在黑土中对土壤有机质和腐殖质含量的提升效果优于秸秆。","2023","2025-08-27 10:43:01","2025-08-27 10:43:55","","313-318","","4","37","","水土保持学报","","","","","","","","zh","","","","","","61-1362/TV","","","","","黑土; 土壤腐殖物质; 土壤光谱; 土壤颜色","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBDQUVRJ","journalArticle","2023","李琪; 王帅; 刘芳君; 蒋晓翠; 杨利民; 杨莉","化肥减施、有机肥替代对防风产量、品质的影响","中国中药杂志","","1001-5302","10.19540/j.cnki.cjcmm.20230414.103","https://link.cnki.net/doi/10.19540/j.cnki.cjcmm.20230414.103","为探讨道地产区栽培防风适宜的施肥模式，采用田间试验分别考察了有机肥替代（有机肥+氮磷钾配施）与化肥减施（有机肥+氮磷钾减量配施、有机肥+氮磷钾减量配施+生物质炭土壤调理剂）施肥模式下防风产量、品质与土壤质量变化，并采用CRITIC权重法分别对药材品质评价数据集、土壤质量评价数据集进行了综合分析。结果发现（1）有机肥替代模式下防风产量增幅为4.93%～12.67%;化肥减施YHT15处理下增产44.43%,高于有机肥替代模式。（2）2种施肥模式下防风药材质量均高于《中国药典》标准，增施生物质炭有助于药材质量的提高，增幅82.83%～181.54%。CRITIC法分析显示药材品质综合得分较高的施肥处理为YHT15、YH30、YH15。（3）2种施肥模式下土壤质量均高于对照，土壤质量综合得分较高的施肥处理为YHT15、YHT30、YHT。该研究表明添加生物质炭作为土壤调理剂，配施适量有机肥，减施部分化肥的施肥模式是吉林省西部白城地区发展防风种植的适宜方式，其具体施肥方式为：基肥为过磷酸钙361 kg·hm-2+硫酸钾110 kg·hm-2+有机肥82 kg·hm-2+稻壳生物质炭10 000 kg·hm-2,以尿素追肥3次，分别为29、29、20 kg·hm-2。","2023","2025-08-27 10:43:01","2025-08-27 10:43:55","","4647-4654","","17","48","","中国中药杂志","","","","","","","","zh","","","","","","11-2272/R","","","","","生态种植; 生物质炭; 土壤质量; 药材质量; CRITIC权重法","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CGFSNXRF","journalArticle","2023","何伊平","生物有机肥部分替代化肥技术对水稻生长、土壤养分含量的影响","广西农学报","","1003-4374","","https://kns.cnki.net/kcms2/article/abstract?v=JEPDQvKdoqKpgZhvGB4PirCw_RmbDOKbuRjrv_Xs_mbbshfAU7JYvtolsPItn4su_sGwzSza1Mdgr8qXj4gPf2v7xyQqaRe-qAhY4jmvKIoqYsPJjFgU1tPF9BMjR4b4FG46a2RmWyL5X-X_FVjSRGQtOXjxb7UhivLrBNCvexwZ5s8JUBj_hjDlb6bsN3fs&uniplatform=NZKPT&language=CHS","【目的】探究生物有机肥部分替代化肥技术对苍梧县内水稻生长和土壤肥力的影响，为提升稻田土壤质量、进一步改善苍梧县农田生态提供参考。【方法】试验设3个不同地点的技术效果监测点，监测点1和监测点2为早造种植，监测点3为晚造种植；每个监测点设置80%测土配方施肥+300 kg生物有机肥的施肥处理（T2）与单纯测土配方施肥的处理（T1）对比，调查试验水稻的农艺性状、产量、土壤养分含量。【结果】T2水稻结实率平均增加3.30%，千粒重平均增加4.57%，产量平均增加6.14%，水稻无效分蘖减少。T1和T2的土壤有机质、全氮含量有提升，平均盈余率分别为1.89%和21.14%、25.05%和40.00%;T1和T2的土壤有效磷含量有小幅提高，平均盈余率为13.52%和3.37%；但土壤速效钾含量均出现较大幅度的下降，T1和T2分别减少34.78%、47.02%。【结论】生物有机肥部分替代化肥技术可以提高水稻的结实率、千粒重和产量，同时还能增加土壤养分的含量。","2023","2025-08-27 10:43:01","2025-08-27 10:43:56","","40-44, 66","","2","38","","广西农学报","","","","","","","","zh","","","","","","45-1133/S","","","","","水稻; 土壤养分; 有机肥","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B5W35253","journalArticle","2023","黄钻华; 赵林蓉","有机肥替代部分化肥对水稻产量及土壤质量的影响","农业科技通讯","","1000-6400","","https://kns.cnki.net/kcms2/article/abstract?v=JEPDQvKdoqI1-97boW-qVDQqrWhZ-s1uTg3e0xrEN00Dx5sDpMIGhQhALeL1RVQtP-3WxUViAXH9J2Qi2vxZyyLKRXgj9WXLUP-7qsknfFWqG0hWlMuAWSakdVej7VqNcbfCq_RY-50vnrnjDC-hant3VRsrGinCUyNag0Ub_GQzIopH5pfPY65DafqdVJjE&uniplatform=NZKPT&language=CHS","为了分析有机肥替代部分化肥对水稻产量及土壤质量的影响，设置有机肥分别替代10%、20%、30%、40%、50%化肥的比较试验。结果表明，有机肥替代总施氮素的10%、20%时，水稻亩产量较高，替代比例为30%时，水稻产量差异不明显，替代比例分别为40%、50%时，水稻有效穗数明显减少，从而使产量显著降低。综上所述，施用有机肥可以提高土壤有机质含量、减轻土壤容重，兼顾经济效益和生态效益。有机肥替代总施氮素比例应控制在30%以内。","2023","2025-08-27 10:43:01","2025-08-27 10:43:57","","104-106, 195","","3","","","农业科技通讯","","","","","","","","zh","","","","","","11-2395/S","","","","","化肥; 水稻产量; 土壤质量; 有机肥","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DW7KXA52","journalArticle","2023","石学萍; 张谦; 王燕; 董明; 祁虹; 冯国艺; 孙红春; 王树林","有机肥替代部分化肥对棉田土壤养分含量与棉花产量收益的影响","新疆农业科学","","1001-4330","","https://link.cnki.net/urlid/65.1097.S.20230301.2008.046","【目的】研究河北省中南部旱薄沙壤区有机肥替代部分化肥后棉田土壤养分状况、棉花产量性状与肥料投入收益情况，为有机肥替代减施化肥提供理论支持。【方法】设置不施肥对照、单施化肥与增施有机肥配合减施10%、30%、50%化肥共5个处理，采用随机区组设计，定位3 a后，测定不同处理土壤有机质、全氮、速效磷与速效钾含量，调查棉花产量性状，分析肥料投入收益情况。【结果】定位3 a后，增施有机肥可显著提升土壤有机质含量，各处理土壤全氮含量变化不明显，增施有机肥后，随着化肥减量增加，土壤速效磷和速效钾均呈降低趋势，但减施10%、30%化肥后土壤速效磷和速效钾与单施化肥差异不显著，减施50%化肥后显著下降；增施有机肥减施化肥后，通过影响棉花单株铃数影响棉花产量，减施10%与30%化肥后籽棉产量与单施化肥差异不显著，而减施50%化肥后籽棉产量显著降低；肥料投入收益以增施有机肥减施化肥10%与30%2个处理显著高于其它处理。【结论】在河北省中南部旱薄沙壤棉区，增施有机肥1 500 kg/hm2,减少化肥用量30%,可提高棉田土壤有机质，稳定棉花产量，实现肥料投入收益最大化。","2023","2025-08-27 10:43:01","2025-08-27 10:43:58","","192-196","","1","60","","新疆农业科学","","","","","","","","zh","","","","","","65-1097/S","","","","","产量收益; 减施化肥; 棉花; 土壤养分; 有机肥","/unread; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
