"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"82ZVPLXW","journalArticle","2025","Tian, Wei; Liang, Feilong; Tu, Longping; Xu, Zhe; Li, Rong; Ma, Ruoya; Huang, Yawen; Wu, Shuang; Li, Shuqing; Wang, Jinyang; Liu, Shuwei; Han, Zhaoqiang; Zou, Jianwen","Mineral fertilizer substitution and application of bacillus velezensis SQR9 reduced nitrogen-oxide emissions in tropical vegetable fields","Agriculture Ecosystems and Environment","","0167-8809","10.1016/j.agee.2025.109554","","Substituting mineral fertilizer with organic fertilizer and plant growth-promoting microbes (PGPM) inoculation have been well documented as two possible mitigation options for soil nitrogen (N)-oxide (N2O and NO) emissions in cropland. However, whether the combined application of the two measures can have an additive, antagonistic or no effect in reducing N-oxide emissions is unknown, especially in tropical-intensive vegetable fields. Utilizing a field experiment in typical tropical continuous and rotational vegetable cultivation systems, we examined how organic fertilizer substitution for mineral fertilizer accompanied by Bacillus velezensis SQR9 inoculation influenced N-oxide emissions, vegetable yields, and successive cropping obstacles. Partial substitution with organic fertilizer accompanied by Bacillus velezensis SQR9 inoculation increased vegetable yields based on alleviating the incidence of plant wilt and decreased N-oxide emissions by 11 % compared to the partial substitution and by 35 % compared to conventional mineral fertilizer. These inhibitory effects on soil N-oxide emissions may be mainly attributed to the increased abundance of nosZ genes and the key species enrichment in the bacterial co-occurrence networks related to N2O reduction (Desulfobacteroata and Verrucomicrobiota), and decreased in nirS genes. The stimulation of vegetable yield and the incidence of plant wilt suppression following organic substitution accompanied by Bacillus velezensis SQR9 inoculation was probably due to the promoted efficiency of N uptake and utilization by vegetables. Although the increased amount of organic fertilizer application was another strategy for stimulating vegetable yields and reducing the incidence of plant wilt, it also obviously stimulated soil N-oxide emissions. Rotational cropping improved vegetable yields while decreasing soil N-oxide emissions by 10 % when compared to the continuous cropping system. Overall, the work suggested that the combined application of organic fertilizers and PGPM may be an environment-friendly strategy for ensuring food security while mitigating N-oxide emissions in tropical-intensive vegetable fields.","2025-06-01","2025-08-27 10:53:06","2025-08-27 10:53:51","2025-03-01","","","","384","","Agric. Ecosyst. Environ.","","","","","","","","en","","","","WOS:001429335700001","","","1 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A6F9MVCK","journalArticle","2024","Niu, Jincan; Saeed, Qudsia; Wang, Wenning; Zhang, Runze; Liu, Lin; Lv, Fenglian; Xu, Jiaxing; Han, Yan; Zhang, Panxin; Hu, Changlu; Xu, Hu; Sun, Benhua; Yang, Xueyun; Zhang, Shulan","Manure replacing synthetic fertilizer improves crop yield sustainability and reduces carbon footprint under winter wheat-summer maize cropping system","Journal of Environmental Management","","0301-4797","10.1016/j.jenvman.2024.120936","","Manure replacing synthetic fertilizer is a viable practice to ensure crop yield and increase soil organic carbon (SOC), but its impact on greenhouse gas (GHG) emissions is inconsistent, thus remains its effect on CF unclear. In this study, a 7-year field experiment was conducted to assess the impact of replacing synthetic fertilizer with manure on crop productivity, SOC sequestration, GHG emissions and crop CF under winter wheat-summer maize cropping system. Five treatments were involved: synthetic nitrogen, phosphorus, and potassium fertilizer (NPK) and 25%, 50%, 75%, and 100% of manure replacing synthetic N (25%M, 50%M, 75%M, and 100%M). Compared with NPK treatment, 25%M and 50%M treatments maintained annual yield (winter wheat plus summer maize) and sustainable yield index (SYI), but 75%M and 100%M treatments significantly decreased annual yield, and 100%M treatment also significantly reduced annual SYI. The SOC content exhibited a significant increasing trend over years in all treatments. After 7 years, SOC storage in manure treatments increased by 3.06-11.82 Mg ha- 1 relative to NPK treatment. Manure treatments reduced annual GHG emissions by 14%-60% over NPK treatment. The CF of the cropping system ranged from 0.16 to 0.39 kg CO2 eq kg- 1 of grain without considering SOC sequestration, in which the CF of manure treatments lowered by 18%-58% relative to NPK treatment. When SOC sequestration was involved in, the CF varied from -0.39 to 0.37 kg CO2 eq kg- 1 of grain, manure treatments significantly reduced the CF by 22%-208% over NPK treatment. It was concluded that replacing 50% of synthetic fertilizer with manure was a sound option for achieving high crop yield and SYI but low CF under the tested cropping system.","2024-05","2025-08-27 10:53:06","2025-08-27 10:53:52","2024-08-28","","","","358","","J. Environ. Manage.","","","","","","","","en","","","","WOS:001296331500001","","","13 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCXKUKTW","journalArticle","2018","Ren, Fengling; Zhang, Xubo; Liu, Jian; Sun, Nan; Sun, Zhigang; Wu, Lianhai; Xu, Minggang","A synthetic analysis of livestock manure substitution effects on organic carbon changes in China's arable topsoil","Catena","","0341-8162","10.1016/j.catena.2018.06.036","","Application of livestock manure has been recognized as an important strategy for enhancing soil organic carbon (SOC) stocks. However, the magnitude of manure application impacts on SOC changes as compared with conventional mineral fertilizers still needs to be better assessed. In this study, we conducted a meta-analysis to address the effects of various fertilization practices on SOC changes in China's arable topsoil. The analysis was based on 148 peer reviewed articles reporting 69 sites and 729 observations with an average experimental duration of 18 years across China. We compared the response of SOC content to application of manure alone (M) or manure plus mineral fertilizers (NPKM) with the SOC response to NPK or no fertilizers (Control). We systematically analyzed how SOC responses were influenced by different environmental and management factors (land use, climate and soil properties, etc.). First, the retention coefficient of manure was used to present the percentage of C input from manure ""converted"" to SOC. Compared to Control, on average, manure had C-retention coefficients of 31% +/- 12% (95% Confidence Interval, CI) and 18% +/- 2% for the experimental duration of <= 10 years and > 10 years, respectively. When compared to NPK, manure had C-retention coefficients of 29% +/- 13% and 9% +/- 3% for the experimental duration of <= 10 years and > 10 years, respectively. In addition, compared to Control and NPK, application of manure increased SOC content by 0.23-0.26 and 0.18-0.19 g kg(-1) yr(-1), respectively. The results also indicated that the mean differences of SOC change between the treatments with or without manure application were mainly controlled by soil properties (28-43%) and anthropogenic farming practices (21-27%). Our results highlight the significance of improving or maintaining SOC stocks by manure applications, and provide insights for making manure application recommendations or guidelines to improve SOC stocks of China's cropland based on soil properties, climatic conditions and management practices.","2018-12","2025-08-27 10:53:06","2025-08-27 10:53:54","2018-10-25","1-10","","","171","","Catena","","","","","","","","en","","","","WOS:000447107900001","","","37 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MWSX9AWA","journalArticle","2025","Hao, Xiaoyu; Ma, Xingzhu; Sun, Lei; Liu, Shuangquan; Ji, Jinghong; Zhou, Baoku; Zhao, Yue; Zheng, Yu; Kuang, Enjun; Liu, Yitian; Zhao, Shicheng","High ratio of manure substitution enhanced soil organic carbon storage via increasing particulate organic carbon and nutrient availability","Plants-basel","","2223-7747","10.3390/plants14132045","","Replacing partial chemical fertilizers with organic fertilizer can increase organic carbon input, change soil nutrient stoichiometry and microbial metabolism, and then affect soil organic carbon (SOC) storage. A 6-year field experiment was used to explore the mechanism of SOC storage under different ratios of manure substitution in northeast China, with treatments including chemical fertilizer application alone (nitrogen, phosphorus, and potassium, NPK) and replacing 1/4 (1/4M), 2/4 (2/4M), 3/4 (3/4M), and 4/4 (4/4M) of chemical fertilizer N with manure N. Soil nutrients, enzymatic activity, and SOC fractions were analyzed to evaluate the effect of different manure substitution ratios on SOC storage. A high ratio of manure substitution (>1/4) significantly increased soil total N, total P, total K, and available nutrients (NO3--N, available P, and available K), and the 4/4M greatly decreased the C/N ratio compared to the NPK. Manure incorporation increased microbial biomass carbon (MBC) by 18.3-53.0%. Treatments with 50%, 75%, and 100% manure substitution (2/4M, 3/4M, and 4/4M) enhanced bacterial necromass carbon (BNC), fungal necromass carbon (FNC), and total microbial necromass carbon (MNC) by 31.9-63.5%, 25.5-107.1%, and 27.4-94.2%, respectively, compared to the NPK treatment. Notably, the increase in FNC was greater than that of BNC as the manure substitution ratio increased. The increasing manure substitution significantly enhanced particulate organic C (POC) and total SOC but did not affect mineral-associated organic C (MAOC). High soil N and P supplies decreased leucine aminopeptidases (LAPs) and alkaline phosphatase activities but increased the activity ratio of beta-glucosidase (BG)/(N-acetyl-glucosaminidase (NAG) + LAP). Treatments with 25% manure substitution (1/4M) maintained maize and soybean yield, but with increasing manure rate, the maize yield decreased gradually. Overall, the high ratio of manure substitution enhanced SOC storage via increasing POC and MNC, and decreasing the decomposition potential of manure C and soil C resulting from low N- and P-requiring enzyme activities under high nutrient supplies. This study provides empirical evidence that the rational substitution of chemical fertilizers with manure is an effective measure to improve the availability of nutrients, and its effect on increasing crop yields still needs to be continuously observed, which is still a beneficial choice for enhancing black soil fertility.","2025-07-03","2025-08-27 10:53:06","2025-08-27 10:53:55","2025-07-17","","","13","14","","Plants-basel","","","","","","","","en","","","","WOS:001527020200001","","","0 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHGBBFHX","journalArticle","2025","Wang, Yaling; Wang, Linxuan; Li, Ruonan; Wang, He; Wu, Guohan; Wen, Xinyue; Huang, Shaowen; Wang, Xiubin; Liu, Chunjing","Long-term organic substitution regimes affect open-field vegetable yields and soil organic carbon stability by regulating soil labile organic carbon fractions' changes","Agronomy-basel","","2073-4395","10.3390/agronomy15020396","","Soil labile organic carbon (C) fractions play a key role in agricultural soil fertility. However, the effects of long-term organic substitution regimes on soil organic carbon (SOC), its labile fractions, stability, and vegetable yields as well as the relationships among these factors in the open-field are less well-studied. Hence, the objective of this study was to analyze the effects of long-term organic substitution regimes on SOC sequestration, labile C fractions [particulate organic C (POC), microbial biomass carbon (MBC), dissolved organic C (DOC), and readily oxidizable C (ROC)], SOC stability, the C pool management index (CMI), and vegetable yields in a long-term (13 years) open-field experiment. Five treatments were examined: 100% chemical nitrogen fertilizer (CN), substituting 25% of the chemical N with manure (MN) or straw (SN), and substituting 50% of the chemical N with manure (2MN) or manure plus straw (MSN). Compared to the CN, organic substitution treatments increased the average yields of vegetable, the SOC, the labile C fractions' contents, and the C pool management index (CMI) to varying degrees, but only MSN reached significant levels for these factors. However, the MSN treatment had a significantly lower C stability index (SI) than the CN. 13C-NMR analyses also confirmed that organic substitution treatments increased the proportion of O-alkyl C and the OA/A, but reduced SOC stability. Pearson correlation analysis and the partial least squares path model indicated that labile C fractions were the mainly direct contributors to yield and SOC stability. Overall, substituting 50% of the chemical N with manure plus straw is a relatively ideal fertilization practice to improve vegetable yields and enhance C activity in an open field.","2025-02","2025-08-27 10:53:06","2025-08-27 10:53:57","2025-03-02","","","2","15","","Agron.-basel","","","","","","","","en","","","","WOS:001429925000001","","","0 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2S5E3R7P","journalArticle","2022","Li, Xinyue; Li, Bing; Chen, Lan; Liang, Jingyue; Huang, Rong; Tang, Xiaoyan; Zhang, Xiao; Wang, Changquan","Partial substitution of chemical fertilizer with organic fertilizer over seven years increases yields and restores soil bacterial community diversity in wheat-rice rotation","European Journal of Agronomy","","1161-0301","10.1016/j.eja.2021.126445","","Substituting chemical fertilizer with organic fertilizer is an important agricultural practice that improves crop yields but also affects soil biogeochemical cycling. To explore the effects of organic fertilizer on soil properties and bacterial community structure and diversity, a long-term field experiment (2011-2017) was conducted in a wheat-rice rotation system with four treatments: control (CK, no fertilizer), chemical fertilizer only (NPK), substitution of 50% of chemical nitrogen (N) fertilizer with organic fertilizer (NPKM), and substitution of 100% of chemical N fertilizer with organic fertilizer (OM). Results showed that, crop yields (wheat and rice) from 2011-2017 were highest in NPKM. Combined with alpha-diversity analysis, long-term application of NPK led to a decrease in soil bacterial diversity. However, soil bacterial community richness (Ace and Chao1 indices) increased in NPKM in the wheat season, as well as in OM in the rice season. Compared with NPK, organic fertilizer inputs (NPKM and OM) increased microbial biomass carbon and abundance of dominant bacteria (Acidobacteria, Anaerolineaceae, and Nitrospira) in both crop seasons. In NPK, relative abundance of Rhodanobacter increased significantly in the wheat season because of low soil pH. Bacterial community composition and structure were similar between NPKM and OM in the wheat season. Redundancy analysis further found that soil pH (R2 = 0.735, P = 0.013) co-varied with the bacterial community structure in the wheat season. In the rice season, relative abundance of Nitrospira increased significantly in NPKM, which could generate large amounts of nitrate nitrogen (NO3- -N), and then increase risks of N2O emissions and NO3- -N leaching in paddies. Overall, partial substitution of chemical fertilizer with organic fertilizer was optimal to increase crop yields and recover soil bacterial diversity in the wheat-rice rotation, and greater substitution with organic fertilizer in combination with chemical fertilizer is recommended only for rice seasons.","2022-02","2025-08-27 10:53:06","2025-08-27 10:53:57","2022-02-10","","","","133","","Eur. J. Agron.","","","","","","","","en","","","","WOS:000740709500002","","","81 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GFTFJEM8","journalArticle","2021","Wu, Xian; Zhang, Ting; Zhao, Jianning; Wang, Lili; Yang, Dianlin; Li, Gang; Xiu, Weiming","Variation of soil bacterial and fungal communities from fluvo-aquic soil under chemical fertilizer reduction combined with organic materials in north China plain","Journal of Soil Science and Plant Nutrition","","0718-9508","10.1007/s42729-020-00365-0","","Since 2015, China has implemented chemical fertilizer reduction, aiming to achieve zero growth in the application rate of chemical fertilizer. Therefore, it is of great significance to explore the effect of chemical fertilizer reduction combined with organic materials in a wheat-maize rotation system from fluvo-aquic soil in North China on soil microbial community. The field experiment included five fertilization treatments, i.e., chemical fertilizer with conventional application rate (F), chemical fertilizer reduction on the basis of conventional fertilization (FR), chemical fertilizer reduction plus straw (FRS), chemical fertilizer reduction combined with organic fertilizer (FRO), and chemical fertilizer reduction combined with organic fertilizer and straw (FROS). The abundance, composition, diversity, and structure of bacterial and fungal communities among treatments were evaluated using qPCR and Illumina high-throughput sequencing technology. The results showed that the concentrations of soil organic matter (SOM) and total nitrogen (TN) in all treatments with addition of organic materials were much higher than those in treatments applied with only chemical fertilizer. The SOM content in the FRS, FRO, and FROS treatments increased by 23.91%, 37.12%, 26.09%, and the TN content increased by 11.96%, 21.08%, 15.22% in comparison with the F treatment, respectively. The lowest contents of available phosphorus (AP) and nitrate nitrogen (NO3--N) were observed in FR treatment. The AP content in FRO and FROS treatments were 2.44 times and 2.42 times greater than that in FR treatment, respectively. Compared with F treatment, the organic materials input significantly increased bacterial and fungal abundances. More significant effects on the alpha-diversity with organic fertilizer were observed in the fungal community compared with the bacterial community. The significant increase of Ascomycota and the decline of Mortierellomycota and Glomeromycota were observed in the combined with organic materials treated soils. The nonmetric multidimensional scaling (NMDS) analysis demonstrated that the bacterial community structure in the F treatment was clearly separated from the other treatments, and the other treatments clustered closely, while with respect to fungal community structure, the FRO and FROS treatments grouped together and were separated from the other three treatments. The redundancy analysis (RDA) results showed that the structure of the bacterial community was significantly correlated with SOM and TN, and the fungal community structure was strongly correlated with AP, SOM, and TN. The chemical fertilizer reduction combined with organic fertilizer and straw can effectively improve soil fertility and nutrient availability, altered the community structure of both bacteria and fungi, but only significantly reduced fungal biodiversity. The influence of chemical fertilizer reduction combined with organic materials on fungi was greater than that on bacteria in fluvo-aquic soil of North China.","2021-03","2025-08-27 10:53:06","2025-08-27 10:53:59","2020-11-24","349-363","","1","21","","J. Soil Sci. Plant Nutr.","","","","","","","","en","","","","WOS:000588006400001","","","52 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H5HHP8RH","journalArticle","2025","Liu, Zhao; Ao, Wen; Wu, Shenghang; Deng, Qiheng; Ren, Hao; Li, Qiang; Li, Hao; Zhang, Peng","Effects of replacing nitrogen fertilizer with organic fertilizer on soil physicochemical properties and maize yield in yunnan's red soil","Sustainability","","2071-1050","10.3390/su17146634","","Red soil regions commonly experience land degradation and low nutrient availability. Excessive fertilizer use in recent years has intensified these challenges, necessitating scientifically informed fertilization strategies to ensure agricultural sustainability. To identify optimal fertilization strategies for maize cultivation in Yunnan's red soil regions, this study conducted field experiments involving partial substitution of nitrogen fertilizer with organic manure to determine whether this approach improves soil health and boosts maize yield. Four treatments were compared in a randomized complete block design over one growing season: no fertilization (NF), soil testing and formula fertilization (STF), 15% organic fertilizer (swine manure) replacing nitrogen fertilizer (OF15), and 30% organic fertilizer replacing nitrogen fertilizer (OF30). The results indicated that substituting organic fertilizer for nitrogen fertilizer reduced soil acidification while increasing total phosphorus (TP) and available phosphorus (AP), thereby enhancing soil physicochemical properties. Maize grown under OF30 exhibited improved agronomic traits including plant height, stem diameter, ear height, and ear length. Additionally, the partial replacement of synthetic fertilizer with organic fertilizer notably increased maize yield and the weight of 100 grains, but there was no significant difference (p < 0.05) between OF15 and OF30. Moreover, the OF30 treatment generated the highest economic return of 25,981.73 CNY<middle dot>ha-1. Correlation and principal component analyses revealed that substituting organic fertilizer for nitrogen fertilizer notably influenced total nitrogen (TN), total phosphorus (TP), available phosphorus (AP), and yield, with maize yield positively correlated with TP and AP content. This study presents evidence that replacing 30% of nitrogen fertilizer with organic fertilizer is a viable strategy to enhance soil health, maize productivity, and profitability in Yunnan's red soil regions, providing a crucial scientific foundation to support sustainable agricultural development in the region.","2025-07-21","2025-08-27 10:53:06","2025-08-27 10:54:02","2025-08-02","","","14","17","","Sustainability","","","","","","","","en","","","","WOS:001536838600001","","","1 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9M285B52","journalArticle","2025","Yuan, Pingde; Guo, Wenjia; Dong, Jiangyao; Liao, Yuncheng; Wen, Xiaoxia; Wang, Weiyan","Organic substitution increases soil organic carbon accumulation by altering the bacterial carbon metabolism in dry farmland","Land Degradation and Development","","1085-3278","10.1002/ldr.70034","","Soil organic carbon (SOC) has been considered one of the critical factors for maintaining soil fertility and achieving sustainable agriculture. Reasonable organic fertiliser management practices have become the core of sustainable agriculture. However, it remains unclear how C-functional microorganisms affect SOC sequestration and decomposition in dry farmlands. In this study, we conducted an 8-year experiment on the Loess Plateau and used metagenomic sequencing to investigate the relationship between a subset of soil C-metabolising microbes and SOC accumulation under different proportions of organic fertiliser substituting chemical N (OFS), namely 25% (OFS25), 50% (OFS50), 75% (OFS75) and 100% (OFS100), and full inorganic N fertiliser (NPK). Compared with the NPK treatment, organic fertiliser substitution treatments significantly increased SOC by 3.9%-12.8%, dissolved organic C by 1.4%-3.5%, microbial biomass C by 9.2%-26.4% and particulate organic C (except OFS100) by 17.5%-33.0%, respectively. Moreover, the activities of alpha-1,4-glucosidase, beta-cellobiosidase (except OFS75), and sucrase were significantly enhanced by 36.6%-82.0%, 122.5%-209.5% and 11.8%-31.3% under organic fertiliser substitution treatments, compared with NPK. Metagenomic results revealed that OFS treatments significantly changed the diversity and structure of bacteria involved in expressing C degradation; however, they did not affect fungal communities. In addition, compared with NPK, different OFS treatments significantly changed the relative abundance of microbial functional genes involved in C degradation; that is, OFS25, OFS75 and OFS100 treatment increased the abundance of long-chain C decomposition functional genes by 4.8%, 6.1% and 6.1%, respectively. However, the OFS50, OFS75 and OFS100 treatments reduced the abundance of the recalcitrant C decomposition functional genes by 0.9%, 4.6% and 2.2%, respectively. Critically, PLS-PM revealed that extracellular enzyme activities of C hydrolysis and the abundance of C decomposition genes had a direct positive effect, among which genes involved in sugar and long-chain C decomposition had a positive loading coefficient and genes involved in recalcitrant C decomposition had a negative loading coefficient, except for the effects of organic fertiliser substitution and SOC fractions; meanwhile, C-functional bacteria had a significant negative indirect effect. Overall, this study demonstrated that organic fertiliser substitution enhanced abundances of genes associated with labile C decomposition and altered community structure and diversity of C metabolism bacteria, which collectively intensified extracellular enzymatic activities involved in carbon hydrolysis processes, thereby promoting SOC stabilization in dry farmland soils.","2025-06-25","2025-08-27 10:53:06","2025-08-27 10:54:08","2025-06-28","","","","","","Land Degrad. Dev.","","","","","","","","en","","","","WOS:001514463900001","","","0 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S896WGBB","journalArticle","2023","Lu, Zerang; Zhou, Yun; Li, Yongmei; Li, Chunpei; Lu, Mei; Sun, Xuemei; Luo, Zhizhang; Zhao, Jixia; Fan, Maopan","Effects of partial substitution of chemical fertilizer with organic manure on the activity of enzyme and soil bacterial communities in the mountain red soil","Frontiers in Microbiology","","1664-302X","10.3389/fmicb.2023.1234904","","IntroductionThe partial substitution of chemical fertilizer with organic manure takes on a critical significance to enhancing soil quality and boosting sustainable agricultural development. However, rare research has studied the effects of partial substitution of chemical fertilizer with organic manure on soil bacterial community diversity and enzyme activity in maize field in the mountain red soil region of Yunnan.MethodsIn this study, four treatments were set up in which chemical fertilizer (the application rates of N, P2O5 and K2O were 240, 75 and 75 kg & BULL;ha-1, respectively) was substituted by 10% (M10), 20% (M20), 30% (M30) and 40% (M40) of organic manure with equal nitrogen, as well as two control treatments of single application of chemical fertilizer (M0) and no fertilization (CK). The maize (Zea mays L.) crop was sown as a test crop in May 2018. The effects of partial substitution of chemical fertilizer with organic manure on soil physicochemical properties, soil bacterial community diversity and enzyme activity were studied.ResultsThe activities of Cellulase (CBH), Invertase (INV) and & beta;-glucosidase (BG) increased with the increase of organic manure substitution ratio. The activities of & beta;-1,4-N-acetylglucosaminidase (NAG), Urease (URE), and leucine aminopeptidase (LAP) also had the same trend, but the highest activities were 159.92 mg & BULL;g-1 & BULL;h-1, 66.82 mg & BULL;g-1 & BULL;h-1 and 143.90 mg & BULL;g-1 & BULL;h-1 at 30% substitution ratio. Compared with CK and M0 treatments, Shannon index increased notably by 82.91%-116.74% and 92.42%-128.01%, respectively, at the organic manure substitution ratio ranging from 10% to 40%. Chao1 and ACE index increased significantly at the organic manure substitution ratio ranging from 10% to 30%. Proteobacteria was the dominant phylum in all treatments, the relative abundance of Proteobacteria decreased as the organic manure substitution ratio increased. Redundancy analysis showed that microbial biomass C was the main factor affecting the bacterial community composition under partial replacement of chemical fertilizer treatment, while Actinobacteria was the main factor affecting the enzyme activity. In addition, the maize yield of M30 and M40 treatments was significantly higher than that of CK and M0-M20 treatments, and the yield of M30 treatment was the highest, reaching 7652.89 kg & BULL;ha-1.ConclusionTherefore, the partial substitution of chemical fertilizer with organic manure can improve soil biological characteristics, while increasing bacterial community diversity and soil enzyme activity. Therefore, a thirty percent organic manure substitution was determined as the optimal substitution ratio for maize farmland in the mountain red soil area of Yunnan, China.","2023-09-05","2025-08-27 10:53:06","2025-08-27 10:54:30","2023-10-08","","","","14","","Front. Microbiol.","","","","","","","","en","","","","WOS:001066659100001","","","21 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K56F683V","journalArticle","2023","Xu, Hu; Cai, Andong; Yang, Xueyun; Zhang, Shulan; Huang, Shaomin; Wang, Boren; Zhu, Ping; Colinet, Gilles; Sun, Nan; Xu, Minggang; Zhang, Wenju","Long-term organic substitution promotes carbon and nitrogen sequestration and benefit crop production in upland field","Agronomy-basel","","2073-4395","10.3390/agronomy13092381","","Partial substitution of synthetic nitrogen fertilizer with manure (organic substitution) is highly recommended to minimize environmental risks without compromising crop productivity in intensive agricultural systems. However, our understanding of the effect of organic substitution on soil organic carbon (OC) and total nitrogen (TN) in deep soil and its impact on crop productivity remains limited. Here we investigated OC and TN changes in soil profile down to 100 cm, crop yield, and sustainable yield index under synthetic nitrogen, phosphate, and potassium fertilizers (NPK), NPK plus straw (NPKS), and organic substitution (NPKM) treatments over two decades in four upland fields across different climate zones. Compared with the initial values, two decades of NPKM treatment significantly (p < 0.05) increased OC and TN stocks in either topsoil (by 25.6-103.8 and 15.8-89.8%) or deep soil (by 2.9-71.3 and 5.7-36.9%), respectively, across all sites. The increases in OC and TN stocks in 0-100 cm soil receiving NPKM were significantly higher than those receiving NPK at all sites and NPKS at three high-evaporation sites. Compared with NPKS and NPK treatments, crop yield and N uptake were significantly increased under NPKM treatment only at the Qiyang site. Furthermore, OC sequestration in the entire soil profile down to 100 cm and TN accumulation in topsoil exhibited significant positive correlations with crop N uptake, relative crop yield, and sustainable yield index. In conclusion, long-term partial substitution of synthetic N fertilizer with manure facilitates soil OC and TN sequestration in the entire 100 cm profile and thus maintains high crop productivity in upland areas.","2023-09","2025-08-27 10:53:06","2025-08-27 10:58:10","2023-10-06","","","9","13","","Agron.-basel","","","","","","","","en","","","","WOS:001073328900001","","","4 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8Z5XEGF2","journalArticle","2011","Pinitpaitoon, S.; Suwanarit, A.; Bell, R. W.","A framework for determining the efficient combination of organic materials and mineral fertilizer applied in maize cropping","Field Crops Research","","0378-4290","10.1016/j.fcr.2011.06.018","","Application of organic manures and composts in crop production has been strongly encouraged in many places but often without due consideration to their quality and price. Since organic amendments can vary greatly in composition and mineralization rate, a framework is needed to make rational choices on their use as replacements of inorganic fertilizer, especially when considering poor quality organic materials. A field experiment was carried out with maize grown annually for 5 years on a Rhodic Kandiustox in Thailand to test response to mineral fertilizer (at 0-0 to 125-55 kg N-P ha(-1) yr(-1)), compost (0.59% N. 0.31% P and 0.55% K at 0-7500 kg ha(-1) yr(-1)) and stubble removal. The DSSAT model was calibrated to predict yields using the first year's trial data and then used to predict treatment yields for the following 4 years. The Seasonal Analysis module of DSSAT using Dominance Analysis showed that mineral fertilizer (125-55 kg N-P ha(-1) yr(-1)) with stubble return gave the highest net profit whereas the highest rate of compost without mineral fertilizer gave the biggest loss. The yield response was attributed primarily to N supply rather than P. Effects of compost, mineral fertilizer, stubble management, and their interactions on yield and profit were not related to bulk density or soil available water capacity even though soil organic matter (SOM) levels increased. With stubble return, the highest rate of mineral fertilizer increased SOM whereas with compost application or stubble removal it did not. The DSSAT simulation of yield indicated that the low quality compost would only be as profitable as mineral fertilizer if the N concentrations are 3-4 times higher than the present compost (1.8-2.4% N) or if the compost price is greatly reduced. The DSSAT yield simulation and Seasonal Analysis provided a framework whereby the suitability of compost as a N fertilizer replacement for maize could be determined based on its composition, rate of application and price. Further validation of this approach is needed where the organic amendments have significant effects on soil physical properties and where other nutrients besides N are a significant factor in the crop yield response. (C) 2011 Elsevier B.V. All rights reserved.","2011-12-20","2025-08-27 10:53:06","2025-08-27 10:56:17","2011-11-02","302-315","","3","124","","Field Crops Res.","","","","","","","","en","","","","WOS:000295896000004","","","26 citations (Crossref/DOI) [2025-08-27]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
